match_id,competition_id,session_id,game_id,group_id,sheet,end_id,hammer_team_id,nonhammer_team_id,score_hammer,score_nonhammer,score_diff,conceded_end,cumulative_score_hammer,cumulative_score_nonhammer,cumulative_score_diff,scoring_team_id,scoring_team_role,powerplay_team_id,powerplay_value,powerplay_by_hammer,blank_end,hammer_noc,hammer_name,nonhammer_noc,nonhammer_name,hammer_task_neg1,hammer_task_0,hammer_task_1,hammer_task_2,hammer_task_3,hammer_task_4,hammer_task_5,hammer_task_6,hammer_task_7,hammer_task_8,hammer_task_9,hammer_task_10,hammer_task_11,hammer_total_shots,nonhammer_task_neg1,nonhammer_task_0,nonhammer_task_1,nonhammer_task_2,nonhammer_task_3,nonhammer_task_4,nonhammer_task_5,nonhammer_task_6,nonhammer_task_7,nonhammer_task_8,nonhammer_task_9,nonhammer_task_10,nonhammer_task_11,nonhammer_total_shots
0_10_2,0,10,2,0,B,3,27,43,0.0,1.0,-1.0,False,2.0,1.0,1.0,43.0,nonhammer,,,False,False,GBR,Great Britain,CHN,People's Republic of China,0,2,0,0,1,0,0,0,0,0,0,2,0,5,0,1,0,1,3,0,0,0,0,0,0,0,0,5
0_10_2,0,10,2,0,B,4,27,43,0.0,1.0,-1.0,False,2.0,2.0,0.0,43.0,nonhammer,,,False,False,GBR,Great Britain,CHN,People's Republic of China,0,2,0,0,2,0,0,0,0,0,0,1,0,5,0,2,0,1,2,0,0,0,0,0,0,0,0,5
0_10_2,0,10,2,0,B,5,27,43,3.0,0.0,3.0,False,2.0,3.0,-1.0,27.0,hammer,27.0,1.0,True,False,GBR,Great Britain,CHN,People's Republic of China,0,3,0,0,0,0,0,1,1,0,0,0,0,5,0,0,0,0,1,1,0,1,1,0,1,0,0,5
0_10_2,0,10,2,0,B,6,43,27,0.0,1.0,-1.0,False,5.0,3.0,2.0,27.0,nonhammer,43.0,1.0,True,False,CHN,People's Republic of China,GBR,Great Britain,0,2,0,0,2,0,0,0,0,0,1,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5
0_10_2,0,10,2,0,B,7,43,27,1.0,0.0,1.0,False,5.0,4.0,1.0,43.0,hammer,,,False,False,CHN,People's Republic of China,GBR,Great Britain,0,2,0,0,1,0,0,0,0,1,0,1,0,5,0,3,0,1,1,0,0,0,0,0,0,0,0,5
0_10_2,0,10,2,0,B,8,27,43,1.0,0.0,1.0,False,6.0,4.0,2.0,27.0,hammer,,,False,False,GBR,Great Britain,CHN,People's Republic of China,1,0,0,0,1,0,0,0,0,2,1,0,0,5,0,2,0,2,1,0,0,0,0,0,0,0,0,5
0_11_1,0,11,1,0,A,1,17,19,2.0,0.0,2.0,False,0.0,0.0,0.0,17.0,hammer,,,False,False,NOR,Norway,SWE,Sweden,0,3,0,1,1,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,1,0,1,0,5
0_11_1,0,11,1,0,A,2,19,17,1.0,0.0,1.0,False,2.0,0.0,2.0,19.0,hammer,,,False,False,SWE,Sweden,NOR,Norway,0,2,0,0,2,0,0,0,0,0,1,0,0,5,0,4,0,1,0,0,0,0,0,0,0,0,0,5
0_11_1,0,11,1,0,A,3,17,19,1.0,0.0,1.0,False,3.0,0.0,3.0,17.0,hammer,,,False,False,NOR,Norway,SWE,Sweden,0,1,0,0,1,0,0,0,1,0,2,0,0,5,0,2,0,1,1,0,0,0,0,0,1,0,0,5
0_11_1,0,11,1,0,A,4,19,17,1.0,0.0,1.0,False,4.0,0.0,4.0,19.0,hammer,,,False,False,SWE,Sweden,NOR,Norway,0,2,0,0,3,0,0,0,0,0,0,0,0,5,0,2,0,1,1,0,0,1,0,0,0,0,0,5
0_11_1,0,11,1,0,A,5,17,19,1.0,0.0,1.0,False,5.0,0.0,5.0,17.0,hammer,,,False,False,NOR,Norway,SWE,Sweden,0,1,0,0,0,0,0,0,1,2,1,0,0,5,0,1,0,1,2,0,0,0,1,0,0,0,0,5
0_11_1,0,11,1,0,A,6,19,17,0.0,1.0,-1.0,False,6.0,0.0,6.0,17.0,nonhammer,19.0,1.0,True,False,SWE,Sweden,NOR,Norway,0,1,0,0,0,0,0,1,2,0,1,0,0,5,0,1,0,0,0,1,0,1,2,0,0,0,0,5
0_11_1,0,11,1,0,A,7,19,17,0.0,1.0,-1.0,False,6.0,1.0,5.0,17.0,nonhammer,,,False,False,SWE,Sweden,NOR,Norway,0,2,0,0,0,0,0,0,0,0,0,3,0,5,0,2,0,3,0,0,0,0,0,0,0,0,0,5
0_11_1,0,11,1,0,A,8,19,17,,,,True,6.0,2.0,4.0,,,,,False,False,SWE,Sweden,NOR,Norway,1,2,0,0,2,0,0,0,0,0,0,0,0,5,0,1,0,0,1,0,0,0,0,1,0,2,0,5
0_11_2,0,11,2,0,B,1,46,18,2.0,0.0,2.0,False,0.0,0.0,0.0,46.0,hammer,,,False,False,AUS,Australia,SUI,Switzerland,0,3,0,0,1,0,0,0,1,0,0,0,0,5,0,2,0,0,1,0,0,0,1,0,1,0,0,5
0_11_2,0,11,2,0,B,2,18,46,0.0,1.0,-1.0,False,2.0,0.0,2.0,46.0,nonhammer,,,False,False,SUI,Switzerland,AUS,Australia,0,1,0,0,2,0,0,0,0,0,1,1,0,5,0,3,0,0,2,0,0,0,0,0,0,0,0,5
0_11_2,0,11,2,0,B,3,18,46,1.0,0.0,1.0,False,2.0,1.0,1.0,18.0,hammer,,,False,False,SUI,Switzerland,AUS,Australia,0,4,0,0,0,0,0,0,0,0,0,1,0,5,0,2,0,0,2,0,0,0,1,0,0,0,0,5
0_11_2,0,11,2,0,B,4,46,18,0.0,3.0,-3.0,False,3.0,1.0,2.0,18.0,nonhammer,,,False,False,AUS,Australia,SUI,Switzerland,0,1,0,0,1,0,0,0,0,0,1,2,0,5,0,4,0,0,1,0,0,0,0,0,0,0,0,5
0_11_2,0,11,2,0,B,5,46,18,0.0,2.0,-2.0,False,3.0,4.0,-1.0,18.0,nonhammer,,,False,False,AUS,Australia,SUI,Switzerland,0,1,0,0,0,0,0,0,0,2,2,0,0,5,0,3,0,1,1,0,0,0,0,0,0,0,0,5
0_11_2,0,11,2,0,B,6,46,18,3.0,0.0,3.0,False,3.0,6.0,-3.0,46.0,hammer,46.0,1.0,True,False,AUS,Australia,SUI,Switzerland,0,2,0,0,0,0,0,0,2,0,1,0,0,5,0,1,0,0,0,1,0,0,3,0,0,0,0,5
0_11_2,0,11,2,0,B,7,18,46,0.0,2.0,-2.0,False,6.0,6.0,0.0,46.0,nonhammer,18.0,1.0,True,False,SUI,Switzerland,AUS,Australia,0,4,0,0,0,0,0,0,0,0,1,0,0,5,0,3,0,0,1,0,0,1,0,0,0,0,0,5
0_11_2,0,11,2,0,B,8,18,46,0.0,1.0,-1.0,False,6.0,8.0,-2.0,46.0,nonhammer,,,False,False,SUI,Switzerland,AUS,Australia,0,2,0,0,0,0,0,0,0,1,0,2,0,5,0,2,0,3,0,0,0,0,0,0,0,0,0,5
0_11_3,0,11,3,0,C,1,43,24,0.0,3.0,-3.0,False,0.0,0.0,0.0,24.0,nonhammer,,,False,False,CHN,People's Republic of China,ITA,Italy,0,2,0,2,0,0,0,0,0,0,1,0,0,5,0,4,0,0,0,0,0,0,0,0,0,1,0,5
0_11_3,0,11,3,0,C,2,43,24,0.0,1.0,-1.0,False,0.0,3.0,-3.0,24.0,nonhammer,,,False,False,CHN,People's Republic of China,ITA,Italy,0,2,0,0,1,0,0,0,0,1,1,0,0,5,0,3,0,2,0,0,0,0,0,0,0,0,0,5
0_11_3,0,11,3,0,C,3,43,24,1.0,0.0,1.0,False,0.0,4.0,-4.0,43.0,hammer,,,False,False,CHN,People's Republic of China,ITA,Italy,0,3,0,0,0,0,0,0,1,0,1,0,0,5,0,4,0,0,0,0,0,1,0,0,0,0,0,5
0_11_3,0,11,3,0,C,4,24,43,1.0,0.0,1.0,False,1.0,4.0,-3.0,24.0,hammer,,,False,False,ITA,Italy,CHN,People's Republic of China,0,2,0,1,0,0,0,0,0,0,0,2,0,5,0,2,0,1,2,0,0,0,0,0,0,0,0,5
0_11_3,0,11,3,0,C,5,43,24,3.0,0.0,3.0,False,2.0,4.0,-2.0,43.0,hammer,43.0,2.0,True,False,CHN,People's Republic of China,ITA,Italy,0,3,0,0,1,0,0,0,1,0,0,0,0,5,0,1,0,0,1,0,0,0,2,0,1,0,0,5
0_11_3,0,11,3,0,C,6,24,43,1.0,0.0,1.0,False,5.0,4.0,1.0,24.0,hammer,,,False,False,ITA,Italy,CHN,People's Republic of China,0,2,0,1,0,0,0,0,0,0,0,1,1,5,0,4,0,0,0,0,0,0,0,0,0,1,0,5
0_11_3,0,11,3,0,C,7,43,24,0.0,1.0,-1.0,False,6.0,4.0,2.0,24.0,nonhammer,,,False,False,CHN,People's Republic of China,ITA,Italy,0,3,0,0,1,0,0,0,0,0,1,0,0,5,0,3,0,2,0,0,0,0,0,0,0,0,0,5
0_11_3,0,11,3,0,C,8,43,24,0.0,1.0,-1.0,False,6.0,5.0,1.0,24.0,nonhammer,,,False,False,CHN,People's Republic of China,ITA,Italy,0,3,0,0,0,0,0,0,0,0,0,2,0,5,0,3,0,1,0,0,0,0,0,1,0,0,0,5
0_11_4,0,11,4,0,D,1,22,10,1.0,0.0,1.0,False,0.0,0.0,0.0,22.0,hammer,,,False,False,CZE,Czech Republic,CAN,Canada,0,4,0,0,0,0,0,0,0,0,0,0,1,5,0,4,0,0,1,0,0,0,0,0,0,0,0,5
0_11_4,0,11,4,0,D,2,10,22,1.0,0.0,1.0,False,1.0,0.0,1.0,10.0,hammer,,,False,False,CAN,Canada,CZE,Czech Republic,0,2,0,0,0,0,0,0,1,0,1,1,0,5,0,4,0,0,0,0,0,0,0,0,0,1,0,5
0_11_4,0,11,4,0,D,3,22,10,1.0,0.0,1.0,False,2.0,0.0,2.0,22.0,hammer,,,False,False,CZE,Czech Republic,CAN,Canada,0,3,0,0,0,0,0,0,0,0,2,0,0,5,0,3,0,0,0,0,0,1,1,0,0,0,0,5
0_11_4,0,11,4,0,D,4,10,22,1.0,0.0,1.0,False,3.0,0.0,3.0,10.0,hammer,,,False,False,CAN,Canada,CZE,Czech Republic,0,1,0,0,1,0,0,1,0,0,2,0,0,5,0,3,0,0,0,0,0,0,0,0,2,0,0,5
0_11_4,0,11,4,0,D,5,22,10,0.0,1.0,-1.0,False,4.0,0.0,4.0,10.0,nonhammer,,,False,False,CZE,Czech Republic,CAN,Canada,0,2,0,0,1,0,0,0,0,1,1,0,0,5,0,2,0,0,3,0,0,0,0,0,0,0,0,5
0_11_4,0,11,4,0,D,6,22,10,2.0,0.0,2.0,False,4.0,1.0,3.0,22.0,hammer,22.0,2.0,True,False,CZE,Czech Republic,CAN,Canada,0,3,0,0,1,0,0,1,0,0,0,0,0,5,0,1,0,0,1,0,0,2,0,0,1,0,0,5
0_11_4,0,11,4,0,D,7,10,22,0.0,1.0,-1.0,False,6.0,1.0,5.0,22.0,nonhammer,10.0,2.0,True,False,CAN,Canada,CZE,Czech Republic,0,1,0,0,1,1,0,1,0,1,0,0,0,5,0,2,0,1,0,0,0,2,0,0,0,0,0,5
0_11_4,0,11,4,0,D,8,10,22,2.0,0.0,2.0,False,6.0,2.0,4.0,10.0,hammer,,,False,False,CAN,Canada,CZE,Czech Republic,0,1,0,0,3,0,0,0,0,0,0,1,0,5,0,4,0,1,0,0,0,0,0,0,0,0,0,5
0_11_4,0,11,4,0,D,9,22,10,0.0,2.0,-2.0,False,8.0,2.0,6.0,10.0,nonhammer,,,False,False,CZE,Czech Republic,CAN,Canada,0,3,0,0,1,0,0,0,0,0,1,0,0,5,0,1,0,0,3,0,0,1,0,0,0,0,0,5
0_12_1,0,12,1,0,A,1,46,10,3.0,0.0,3.0,False,0.0,0.0,0.0,46.0,hammer,,,False,False,AUS,Australia,CAN,Canada,0,3,0,0,2,0,0,0,0,0,0,0,0,5,0,4,0,0,1,0,0,0,0,0,0,0,0,5
0_12_1,0,12,1,0,A,2,10,46,0.0,2.0,-2.0,False,3.0,0.0,3.0,46.0,nonhammer,,,False,False,CAN,Canada,AUS,Australia,0,1,0,0,3,0,0,0,0,0,0,1,0,5,0,4,0,1,0,0,0,0,0,0,0,0,0,5
0_12_1,0,12,1,0,A,3,10,46,0.0,1.0,-1.0,False,3.0,2.0,1.0,46.0,nonhammer,10.0,2.0,True,False,CAN,Canada,AUS,Australia,0,2,0,0,1,0,0,1,0,0,1,0,0,5,0,1,0,0,0,1,0,1,1,0,1,0,0,5
0_12_1,0,12,1,0,A,4,10,46,0.0,1.0,-1.0,False,3.0,3.0,0.0,46.0,nonhammer,,,False,False,CAN,Canada,AUS,Australia,0,1,0,0,3,0,0,0,0,0,0,1,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5
0_12_1,0,12,1,0,A,5,10,46,4.0,0.0,4.0,False,3.0,4.0,-1.0,10.0,hammer,,,False,False,CAN,Canada,AUS,Australia,0,4,0,0,0,0,0,1,0,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,1,2,0,5
0_12_1,0,12,1,0,A,6,46,10,1.0,0.0,1.0,False,7.0,4.0,3.0,46.0,hammer,,,False,False,AUS,Australia,CAN,Canada,0,2,0,0,1,0,0,0,0,0,1,1,0,5,0,2,0,1,2,0,0,0,0,0,0,0,0,5
0_12_1,0,12,1,0,A,7,10,46,3.0,0.0,3.0,False,8.0,4.0,4.0,10.0,hammer,,,False,False,CAN,Canada,AUS,Australia,0,2,0,0,2,0,0,0,1,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,2,0,0,5
0_12_1,0,12,1,0,A,8,46,10,0.0,1.0,-1.0,False,11.0,4.0,7.0,10.0,nonhammer,46.0,1.0,True,False,AUS,Australia,CAN,Canada,0,0,0,0,0,1,0,2,0,2,0,0,0,5,0,3,1,0,0,0,0,0,1,0,0,0,0,5
0_12_1,0,12,1,0,A,9,46,10,2.0,0.0,2.0,False,11.0,5.0,6.0,46.0,hammer,,,False,False,AUS,Australia,CAN,Canada,1,0,0,0,1,1,0,0,0,2,0,0,0,5,0,2,0,3,0,0,0,0,0,0,0,0,0,5
0_12_2,0,12,2,0,B,1,19,24,2.0,0.0,2.0,False,0.0,0.0,0.0,19.0,hammer,,,False,False,SWE,Sweden,ITA,Italy,0,3,0,0,2,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,1,0,0,0,0,0,5
0_12_2,0,12,2,0,B,2,24,19,1.0,0.0,1.0,False,2.0,0.0,2.0,24.0,hammer,,,False,False,ITA,Italy,SWE,Sweden,0,3,0,0,0,0,0,0,0,1,0,1,0,5,0,2,0,3,0,0,0,0,0,0,0,0,0,5
0_12_2,0,12,2,0,B,3,19,24,0.0,1.0,-1.0,False,3.0,0.0,3.0,24.0,nonhammer,,,False,False,SWE,Sweden,ITA,Italy,0,2,0,0,0,0,0,1,0,2,0,0,0,5,0,4,1,0,0,0,0,0,0,0,0,0,0,5
0_12_2,0,12,2,0,B,4,19,24,0.0,1.0,-1.0,False,3.0,1.0,2.0,24.0,nonhammer,,,False,False,SWE,Sweden,ITA,Italy,0,3,0,0,1,0,0,0,0,0,0,1,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5
0_12_2,0,12,2,0,B,5,19,24,3.0,0.0,3.0,False,3.0,2.0,1.0,19.0,hammer,,,False,False,SWE,Sweden,ITA,Italy,0,2,0,1,1,0,0,1,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,1,1,0,0,5
0_12_2,0,12,2,0,B,6,24,19,5.0,0.0,5.0,False,6.0,2.0,4.0,24.0,hammer,24.0,2.0,True,False,ITA,Italy,SWE,Sweden,0,1,0,0,0,0,0,3,1,0,0,0,0,5,0,1,0,1,0,1,1,0,0,0,1,0,0,5
0_12_2,0,12,2,0,B,7,19,24,3.0,0.0,3.0,False,11.0,2.0,9.0,19.0,hammer,19.0,2.0,True,False,SWE,Sweden,ITA,Italy,0,2,0,0,0,0,0,0,2,0,1,0,0,5,0,0,0,0,1,1,0,0,1,0,2,0,0,5
0_12_2,0,12,2,0,B,8,24,19,4.0,0.0,4.0,False,14.0,2.0,12.0,24.0,hammer,,,False,False,ITA,Italy,SWE,Sweden,0,2,0,0,0,0,0,0,0,3,0,0,0,5,0,2,0,1,2,0,0,0,0,0,0,0,0,5
0_12_3,0,12,3,0,C,1,18,20,3.0,0.0,3.0,False,0.0,0.0,0.0,18.0,hammer,,,False,False,SUI,Switzerland,USA,United States of America,0,0,0,0,4,0,0,1,0,0,0,0,0,5,0,1,0,0,1,0,0,2,0,0,1,0,0,5
0_12_3,0,12,3,0,C,2,20,18,1.0,0.0,1.0,False,3.0,0.0,3.0,20.0,hammer,,,False,False,USA,United States of America,SUI,Switzerland,0,1,0,0,4,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,1,0,5
0_12_3,0,12,3,0,C,3,18,20,0.0,1.0,-1.0,False,4.0,0.0,4.0,20.0,nonhammer,,,False,False,SUI,Switzerland,USA,United States of America,0,3,0,0,1,0,0,0,0,0,0,0,1,5,0,3,0,0,1,0,0,0,0,0,0,1,0,5
0_12_3,0,12,3,0,C,4,18,20,1.0,0.0,1.0,False,4.0,1.0,3.0,18.0,hammer,,,False,False,SUI,Switzerland,USA,United States of America,0,3,0,0,2,0,0,0,0,0,0,0,0,5,0,2,0,2,0,0,0,0,1,0,0,0,0,5
0_12_3,0,12,3,0,C,5,20,18,1.0,0.0,1.0,False,5.0,1.0,4.0,20.0,hammer,,,False,False,USA,United States of America,SUI,Switzerland,0,3,0,0,1,0,0,0,0,0,0,1,0,5,0,3,0,2,0,0,0,0,0,0,0,0,0,5
0_12_3,0,12,3,0,C,6,18,20,1.0,0.0,1.0,False,6.0,1.0,5.0,18.0,hammer,,,False,False,SUI,Switzerland,USA,United States of America,0,2,0,0,0,0,0,0,0,1,2,0,0,5,0,3,0,2,0,0,0,0,0,0,0,0,0,5
0_12_3,0,12,3,0,C,7,20,18,2.0,0.0,2.0,False,7.0,1.0,6.0,20.0,hammer,20.0,2.0,True,False,USA,United States of America,SUI,Switzerland,0,2,1,0,0,0,0,0,1,0,1,0,0,5,0,3,0,0,1,0,0,0,0,0,1,0,0,5
0_12_3,0,12,3,0,C,8,18,20,1.0,0.0,1.0,False,9.0,1.0,8.0,18.0,hammer,18.0,1.0,True,False,SUI,Switzerland,USA,United States of America,0,1,0,0,0,1,0,0,0,3,0,0,0,5,0,2,3,0,0,0,0,0,0,0,0,0,0,5
0_12_4,0,12,4,0,D,1,27,17,0.0,1.0,-1.0,False,0.0,0.0,0.0,17.0,nonhammer,,,False,False,GBR,Great Britain,NOR,Norway,0,4,0,0,0,0,0,0,0,0,1,0,0,5,0,3,0,0,0,0,0,0,1,0,1,0,0,5
0_12_4,0,12,4,0,D,2,27,17,0.0,1.0,-1.0,False,0.0,1.0,-1.0,17.0,nonhammer,,,False,False,GBR,Great Britain,NOR,Norway,0,3,0,0,2,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,2,0,0,5
0_12_4,0,12,4,0,D,3,27,17,1.0,0.0,1.0,False,0.0,2.0,-2.0,27.0,hammer,,,False,False,GBR,Great Britain,NOR,Norway,0,2,0,0,2,0,0,0,0,0,0,1,0,5,0,3,0,1,1,0,0,0,0,0,0,0,0,5
0_12_4,0,12,4,0,D,4,17,27,1.0,0.0,1.0,False,1.0,2.0,-1.0,17.0,hammer,,,False,False,NOR,Norway,GBR,Great Britain,0,2,0,0,0,0,0,0,1,1,1,0,0,5,0,2,0,1,0,0,0,0,2,0,0,0,0,5
0_12_4,0,12,4,0,D,5,27,17,0.0,1.0,-1.0,False,2.0,2.0,0.0,17.0,nonhammer,,,False,False,GBR,Great Britain,NOR,Norway,0,3,0,0,0,0,0,0,0,0,0,2,0,5,0,4,0,0,1,0,0,0,0,0,0,0,0,5
0_12_4,0,12,4,0,D,6,27,17,1.0,0.0,1.0,False,2.0,3.0,-1.0,27.0,hammer,27.0,1.0,True,False,GBR,Great Britain,NOR,Norway,0,2,0,0,1,0,0,0,1,0,1,0,0,5,0,1,0,0,1,0,0,1,1,1,0,0,0,5
0_12_4,0,12,4,0,D,7,17,27,2.0,0.0,2.0,False,3.0,3.0,0.0,17.0,hammer,17.0,2.0,True,False,NOR,Norway,GBR,Great Britain,0,3,0,0,0,0,0,0,0,2,0,0,0,5,0,2,1,2,0,0,0,0,0,0,0,0,0,5
0_12_4,0,12,4,0,D,8,27,17,,,,True,5.0,3.0,2.0,,,,,False,False,GBR,Great Britain,NOR,Norway,2,1,0,0,2,0,0,0,0,0,0,0,0,5,1,2,0,0,0,0,0,1,0,0,1,0,0,5
0_13_1,0,13,1,0,A,1,18,17,0.0,1.0,-1.0,False,0.0,0.0,0.0,17.0,nonhammer,,,False,False,SUI,Switzerland,NOR,Norway,0,4,0,0,0,0,0,0,0,0,0,1,0,5,0,2,0,3,0,0,0,0,0,0,0,0,0,5
0_13_1,0,13,1,0,A,2,18,17,0.0,1.0,-1.0,False,0.0,1.0,-1.0,17.0,nonhammer,,,False,False,SUI,Switzerland,NOR,Norway,0,2,0,0,0,0,0,0,0,1,2,0,0,5,0,4,0,0,1,0,0,0,0,0,0,0,0,5
0_13_1,0,13,1,0,A,3,18,17,1.0,0.0,1.0,False,0.0,2.0,-2.0,18.0,hammer,,,False,False,SUI,Switzerland,NOR,Norway,0,3,0,0,2,0,0,0,0,0,0,0,0,5,0,2,0,2,0,0,0,1,0,0,0,0,0,5
0_13_1,0,13,1,0,A,4,17,18,1.0,0.0,1.0,False,1.0,2.0,-1.0,17.0,hammer,,,False,False,NOR,Norway,SUI,Switzerland,0,2,0,0,0,0,0,0,0,2,1,0,0,5,0,2,0,2,1,0,0,0,0,0,0,0,0,5
0_13_1,0,13,1,0,A,5,18,17,2.0,0.0,2.0,False,2.0,2.0,0.0,18.0,hammer,,,False,False,SUI,Switzerland,NOR,Norway,0,2,0,0,3,0,0,0,0,0,0,0,0,5,0,2,0,1,0,0,0,0,1,0,0,1,0,5
0_13_1,0,13,1,0,A,6,17,18,2.0,0.0,2.0,False,4.0,2.0,2.0,17.0,hammer,17.0,2.0,True,False,NOR,Norway,SUI,Switzerland,0,3,0,0,0,0,0,2,0,0,0,0,0,5,0,2,0,0,0,0,0,0,2,0,0,1,0,5
0_13_1,0,13,1,0,A,7,18,17,2.0,0.0,2.0,False,6.0,2.0,4.0,18.0,hammer,18.0,2.0,True,False,SUI,Switzerland,NOR,Norway,0,3,0,0,0,0,0,2,0,0,0,0,0,5,0,2,0,0,0,0,0,2,1,0,0,0,0,5
0_13_1,0,13,1,0,A,8,17,18,1.0,0.0,1.0,False,8.0,2.0,6.0,17.0,hammer,,,False,False,NOR,Norway,SUI,Switzerland,0,0,0,0,1,1,0,1,0,2,0,0,0,5,0,1,0,2,1,0,0,0,0,0,1,0,0,5
0_13_2,0,13,2,0,B,1,24,10,1.0,0.0,1.0,False,0.0,0.0,0.0,24.0,hammer,,,False,False,ITA,Italy,CAN,Canada,0,2,0,0,1,0,0,0,2,0,0,0,0,5,0,3,0,0,2,0,0,0,0,0,0,0,0,5
0_13_2,0,13,2,0,B,2,10,24,2.0,0.0,2.0,False,1.0,0.0,1.0,10.0,hammer,,,False,False,CAN,Canada,ITA,Italy,0,4,0,0,0,0,0,0,1,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,2,1,0,5
0_13_2,0,13,2,0,B,3,24,10,1.0,0.0,1.0,False,3.0,0.0,3.0,24.0,hammer,,,False,False,ITA,Italy,CAN,Canada,0,2,0,0,1,0,0,0,0,0,2,0,0,5,0,3,0,1,0,0,0,0,1,0,0,0,0,5
0_13_2,0,13,2,0,B,4,10,24,0.0,2.0,-2.0,False,4.0,0.0,4.0,24.0,nonhammer,,,False,False,CAN,Canada,ITA,Italy,0,2,0,0,0,0,0,0,0,1,0,2,0,5,0,2,0,3,0,0,0,0,0,0,0,0,0,5
